C0000727	Acute abdomen
C0026918	Mycobacterial infection
C0026946	Fungal infection
C0026948	Mycosis fungoides
C0026961	Mydriasis
C0026975	Myelitis
C0026976	Myelitis transverse
C0026985	Myelodysplasia
C0026986	Myelodysplastic syndrome
C0026987	Myelofibrosis
C0027013	Myeloid metaplasia
C0027022	Myeloproliferative disorder
C0027051	Myocardial infarction
C0027059	Myocarditis
C0027066	Myoclonus
C0027073	Myofascial pain syndrome
C0027080	Myoglobinuria
C0027092	Myopia
C0027121	Myositis
C0027125	Myotonia
C0027145	Myxoedema
C0027339	Nail disorder
C0027343	Ingrowing nail
C0027404	Narcolepsy
C0027424	Nasal congestion
C0027429	Nasal obstruction
C0027430	Nasal polyps
C0027438	Nasopharyngeal disorder
C0027441	Nasopharyngitis
C0027497	Nausea
C0027531	Neck injury
C0027540	Necrosis
C0027543	Necrosis ischaemic
C0027562	Negativism
C0027609	Drug withdrawal syndrome neonatal
C0027627	Metastasis
C0027651	Neoplasm
C0027697	Nephritis
C0027707	Nephritis interstitial
C0027709	Nephrocalcinosis
C0027719	Nephrosclerosis
C0027720	Nephrosis
C0027721	Lipoid nephrosis
C0027726	Nephrotic syndrome
C0027765	Nervous system disorder
C0027769	Nervousness
C0027794	Neural tube defect
C0027796	Neuralgia
C0027813	Neuritis
C0027822	Neurodermatitis
C0027849	Neuroleptic malignant syndrome
C0027858	Neuroma
C0027868	Neuromyopathy
C0027932	Neurosis
C0027947	Neutropenia
C0027960	Nevus
C0027962	Melanocytic naevus
C0028043	Nicotine dependence
C0028077	Night blindness
C0028081	Night sweats
C0028084	Nightmare
C0028173	NPN increased
C0028242	Nocardiosis
C0028259	Nodule
C0028432	Nasal disorder
C0028643	Numbness
C0028734	Nocturia
C0028738	Nystagmus
C0028754	Obesity
C0028768	Obsessive-compulsive disorder
C0028778	Obstruction
C0028817	Ochronosis
C0028840	Ocular hypertension
C0028841	Hypotony of eye
C0028850	Eye movement disorder
C0028866	IIIrd nerve paralysis
C0028949	Oligomenorrhoea
C0028960	Oligospermia
C0028961	Oliguria
C0029089	Ophthalmoplegia
C0029095	Opioid abuse
C0029118	Opportunistic infection
C0029119	Opportunistic mycosis
C0029124	Optic atrophy
C0029132	Optic nerve disorder
C0029134	Optic neuritis
C0029163	Mouth haemorrhage
C0029191	Orchitis
C0029221	Organic brain syndrome
C0029261	Orgasm abnormal
C0029400	Osteitis
C0029405	Brown tumour
C0029408	Osteoarthritis
C0029429	Osteochondrosis
C0029434	Osteogenesis imperfecta
C0029442	Osteomalacia
C0029443	Osteomyelitis
C0029445	Osteonecrosis
C0029453	Osteopenia
C0029456	Osteoporosis
C0029464	Osteosclerosis
C0029485	Other acne
C0029560	Other conjunctivitis
C0029574	Other dermatoses
C0029734	Other scleritis
C0029877	Otitis
C0029878	Otitis externa
C0029882	Otitis media
C0029883	Middle ear effusion
C0029925	Ovarian carcinoma
C0029927	Ovarian cyst
C0029928	Ovarian disorder
C0029944	Overdose
C0030193	Pain
C0030196	Pain in extremity
C0030200	Intractable pain
C0030201	Postoperative pain
C0030232	Pallor
C0030252	Palpitations
C0030286	Pancreatic disorder
C0030293	Pancreatic insufficiency
C0030297	Pancreatic neoplasm
C0030299	Pancreatic pseudocyst
C0030305	Pancreatitis
C0030312	Pancytopenia
C0030318	Panic reaction
C0030319	Panic disorder
C0030326	Panniculitis
C0030332	Panophthalmitis
C0030343	Panuveitis
C0030353	Papilloedema
C0030354	Papilloma
C0030409	Paracoccidioides infection
C0030446	Ileus paralytic
C0030469	Sinus disorder
C0030486	Paraplegia
C0030489	Paraproteinaemia
C0030508	Parasomnia
C0030517	Parathyroid disorder
C0030521	Parathyroid tumour
C0030552	Paresis
C0030554	Paraesthesia
C0030567	Parkinson's disease
C0030569	Secondary parkinsonism
C0030578	Paronychia
C0030583	Parotitis
C0030587	Paroxysmal atrial tachycardia
C0030591	Paroxysmal ventricular tachycardia
C0030593	Pars planitis
C0030662	Pathological gambling
C0030781	Peliosis hepatis
C0030783	Nicotinic acid deficiency
C0030785	Pelvic abscess
C0030790	Pelvic infection
C0030793	Pelvic neoplasm
C0030794	Pelvic pain
C0030805	Pemphigoid
C0030807	Pemphigus
C0030824	Penicillin allergy
C0030846	Penis disorder
C0030848	Peyronie's disease
C0030920	Peptic ulcer
C0030922	Peptic ulcer haemorrhage
C0030925	Peptic ulcer perforation
C0030976	Perceptual distortions
C0031036	Polyarteritis nodosa
C0031037	Periarthritis
C0031039	Pericardial effusion
C0031046	Pericarditis
C0031048	Pericarditis constrictive
C0031085	Abscess periodontal
C0031090	Periodontal disease
C0031099	Periodontitis
C0031111	Periostitis
C0031117	Neuropathy peripheral
C0031133	Vermiculation
C0031154	Peritonitis
C0031157	Peritonsillar abscess
C0031190	Persistent foetal circulation
C0031212	Personality disorder
C0031256	Petechiae
C0031345	Pharyngeal disorder
C0031350	Pharyngitis
C0031485	Phenylketonuria
C0031538	Tight foreskin
C0031542	Phlebitis
C0031575	Phocomelia
C0031736	Polymorphic light eruption
C0031924	Piloerection
C0032000	Pituitary adenoma
C0032001	Pituitary apoplexy
C0032019	Pituitary tumour
C0032045	Placental disorder
C0032131	Plasmacytoma
C0032226	Pleural disorder
C0032227	Pleural effusion
C0032231	Pleurisy
C0032266	Pneumatosis cystoides intestinalis
C0032285	Pneumonia
C0032290	Pneumonia aspiration
C0032300	Lobar pneumonia
C0032302	Pneumonia mycoplasmal
C0032319	Pneumopericardium
C0032320	Pneumoperitoneum
C0032326	Pneumothorax
C0032343	Poisoning
C0032371	Poliomyelitis
C0032461	Polycythaemia
C0032463	Polycythaemia vera
C0032519	Polymenorrhoea
C0032529	Genetic polymorphism
C0032533	Polymyalgia rheumatica
C0032541	Polyneuritis
C0032584	Polyp
C0032617	Polyuria
C0032633	Dyshidrotic eczema
C0032708	Porphyrin metabolism disorder
C0032739	Tuberculin test positive
C0032768	Post herpetic neuralgia
C0032776	Postmenopausal haemorrhage
C0032781	Postnasal drip
C0032787	Postoperative complications NOS
C0032788	Postoperative hemorrhage
C0032797	Postpartum haemorrhage
C0032827	Potassium deficiency
C0032914	Pre-eclampsia
C0032961	Pregnancy
C0032987	Ectopic pregnancy
C0032989	Multiple pregnancy
C0032994	Tubal pregnancy
C0033036	Supraventricular extrasystoles
C0033038	Premature ejaculation
C0033046	Premenstrual syndrome
C0033075	Presbyopia
C0033117	Priapism
C0033246	Proctitis
C0033247	Proctocolitis
C0033375	Prolactinoma
C0033575	Prostatic disorder
C0033578	Neoplasm prostate
C0033581	Prostatitis
C0033687	Proteinuria
C0033771	Prurigo
C0033774	Pruritus
C0033775	Anal pruritus
C0033777	Pruritus genital
C0033778	Pruritus vulvae
C0033797	Pseudodementia
C0033817	Pseudomonas infection
C0033844	Pseudotumor
C0033845	Benign intracranial hypertension
C0033860	Psoriasis
C0033893	Tension headache
C0033931	Psychosomatic disease
C0033948	Female orgasmic disorder
C0033949	Male orgasmic disorder
C0033953	Psychosexual disorder
C0033975	Psychotic disorder
C0033999	Pterygium
C0034011	Puberty
C0034012	Delayed puberty
C0034013	Precocious puberty
C0034040	Postpartum disorder
C0034050	Alveolar proteinosis
C0034063	Pulmonary oedema
C0034065	Pulmonary embolism
C0034067	Emphysema
C0034068	Pulmonary eosinophilia
C0034069	Pulmonary fibrosis
C0034072	Cor pulmonale
C0034074	Pulmonary infarction
C0034079	Lung nodule
C0034088	Pulmonary valve incompetence
C0034091	Pulmonary veno-occlusive disease
C0034124	Pupillary disorder
C0034150	Purpura
C0034152	Henoch-Schonlein purpura
C0034155	Thrombotic thrombocytopenic purpura
C0034183	Pyelitis
C0034186	Pyelonephritis
C0034194	Pyloric stenosis
C0034212	Pyoderma
C0034359	Pyuria
C0034372	Quadriplegia
C0034530	Radiation injury
C0034544	Radiculitis
C0034561	Dermatitis radiation NOS
C0034628	Radius fracture
C0034634	Rage
C0034642	Rales
C0034734	Raynaud's disease
C0034735	Raynaud's phenomenon
C0034880	Hyperacusis
C0034882	Rectal disorder
C0034886	Proctalgia
C0034887	Rectal polyp
C0034888	Rectal prolapse
C0034902	Aplasia pure red cell
C0034931	Reflex sympathetic dystrophy
C0034933	Reflexes abnormal
C0034935	Extensor plantar response
C0034951	Refraction disorder
C0035021	Relapsing fever
C0035067	Renal artery stenosis
C0035078	Renal failure
C0035085	Renal infarct
C0035126	Reperfusion injury
C0035127	Repetitive strain injury
C0035204	Respiratory disorder
C0035222	Acute respiratory distress syndrome
C0035229	Respiratory insufficiency
C0035232	Respiratory paralysis
C0035235	Respiratory syncytial virus infection
C0035243	Respiratory tract infection
C0035258	Restless legs syndrome
C0035302	Retinal artery occlusion
C0035304	Retinal degeneration
C0035305	Retinal detachment
C0035309	Retinal disorder
C0035317	Retinal haemorrhage
C0035321	Retinal tear
C0035326	Retinal vascular occlusion
C0035328	Retinal vein occlusion
C0035333	Retinitis
C0035344	Retinopathy of prematurity
C0035357	Retroperitoneal fibrosis
C0035400	Reye's syndrome
C0035410	Rhabdomyolysis
C0035435	Rheumatism
C0035455	Rhinitis
C0035457	Perennial allergic rhinitis
C0035459	Rhinitis atrophic
C0035460	Vasomotor rhinitis
C0035508	Rhonchi
C0035522	Rib fracture
C0035579	Rickets
C0035854	Rosacea
C0036093	Salivary gland disorder
C0036104	Salivation
C0036117	Salmonellosis
C0036130	Salpingitis
C0036202	Sarcoidosis
C0036203	Cutaneous sarcoidosis
C0036220	Kaposi's sarcoma
C0036337	Schizoaffective disorder
C0036341	Schizophrenia
C0036358	Schizophreniform disorder
C0036396	Sciatica
C0036412	Scleral disorder
C0036416	Scleritis
C0036420	Circumscribed scleroderma
C0036439	Scoliosis
C0036454	Scotoma
C0036502	Sebaceous gland disorder
C0036508	Seborrhoeic dermatitis
C0036529	Cardiomyopathy secondary NOS
C0036572	Convulsion
C0036601	Self mutilation
C0036651	Solar lentigo
C0036679	Separation
C0036689	Pharyngitis streptococcal
C0036690	Septicemia
C0036749	Serositis
C0036830	Serum sickness
C0036835	TIBC
C0036916	Sexually transmitted disease
C0036973	Shivering
C0036974	Shock
C0036980	Cardiogenic shock
C0036982	Shock haemorrhagic
C0036983	Septic shock
C0037011	Shoulder pain
C0037023	Sialoadenitis
C0037036	Salivary hypersecretion
C0037052	Sick sinus syndrome
C0037188	Sinoatrial block
C0037195	Sinus headache
C0037199	Sinusitis
C0037268	Congenital skin disorder
C0037274	Skin disorder
C0037278	Skin infection
C0037284	Skin lesion
C0037286	Neoplasm skin
C0037287	Skin nodule
C0037290	Pigmentation skin
C0037293	Acrochordon
C0037299	Skin ulcer
C0037301	Skin wrinkling
C0037315	Sleep apnoea syndrome
C0037317	Sleep disturbance
C0037320	Sleep terror
C0037383	Sneezing
C0037384	Snoring
C0037578	Soft tissue injury
C0037650	Somatoform disorder
C0037672	Somnambulism
C0037763	Muscle spasms
C0037822	Speech disorder
C0037859	Spermatocele
C0037926	Spinal cord compression
C0037928	Spinal cord disorder
C0037929	Spinal cord injury
C0037933	Spinal disorder
C0037997	Spleen disorder
C0037998	Splenic infarction
C0038000	Splenic rupture
C0038002	Splenomegaly
C0038012	Spondylitis
C0038013	Ankylosing spondylitis
C0038045	Sprain
C0038160	Staphylococcal infection
C0038165	Staphylococcal scalded skin syndrome
C0038218	Status asthmaticus
C0038220	Status epilepticus
C0038238	Steatorrhoea
C0038273	Stereotypy
C0038325	Stevens-Johnson syndrome
C0038353	Gastric dilatation
C0038354	Gastric disorder
C0038358	Gastric ulcer
C0038362	Stomatitis
C0038363	Aphthous stomatitis
C0038367	Ulcerative stomatitis
C0038379	Strabismus
C0038395	Streptococcal infection
C0038435	Stress
C0038450	Stridor
C0038454	Cerebrovascular accident
C0038463	Strongyloidiasis
C0038506	Stuttering
C0038525	Subarachnoid haemorrhage
C0038534	Subconjunctival hemorrhage
C0038587	Withdrawal syndrome
C0038644	Sudden infant death syndrome
C0038661	Suicide
C0038663	Suicide attempt
C0038732	Sulphaemoglobinaemia
C0038814	Sunburn
C0038826	Superinfection
C0038833	Superior vena cava syndrome
C0038941	Postoperative wound infection
C0038986	Sweat gland disorder
C0038987	Sweat gland tumour
C0038990	Sweating
C0038999	Swelling
C0039070	Syncope
C0039075	Syndactyly
C0039103	Synovitis
C0039128	Syphilis
C0039231	Tachycardia
C0039235	Junctional tachycardia
C0039239	Sinus tachycardia
C0039240	Supraventricular tachycardia
C0039242	Tachyphylaxis
C0039446	Telangiectasia
C0039496	Temporomandibular joint syndrome
C0039503	Tendonitis
C0039504	Tendon injury
C0039520	Tenosynovitis
C0039584	Testicular disorder
C0039591	Testicular pain
C0039614	Tetanus
C0039621	Tetany
C0039685	Fallot's tetralogy
C0039971	Thirst
C0040028	Essential thrombocythaemia
C0040034	Thrombocytopenia
C0040038	Thromboembolism
C0040046	Thrombophlebitis
C0040053	Thrombosis
C0040128	Thyroid disorder
C0040136	Thyroid neoplasm
C0040137	Thyroid nodule
C0040147	Thyroiditis
C0040156	Thyrotoxicosis
C0040188	Tic
C0040210	VT
C0040213	Costochondritis
C0040247	Tinea infection
C0040252	Body tinea
C0040259	Tinea pedis
C0040261	Onychomycosis
C0040262	Tinea versicolour
C0040264	Tinnitus
C0040409	Tongue disorder
C0040411	Tongue neoplasm
C0040414	Tongue hairy
C0040425	Tonsillitis
C0040427	Tooth malformation
C0040434	Tooth discolouration
C0040435	Tooth disorder
C0040436	Tooth erosion
C0040441	Tooth fracture
C0040460	Toothache
C0040479	Torsade de pointes
C0040485	Torticollis
C0040517	Tourette's disorder
C0040558	Toxoplasmosis
C0040580	Tracheal disorder
C0040584	Tracheitis
C0040586	Tracheobronchitis
C0040588	Tracheo-oesophageal fistula
C0040797	Traumatic haemorrhage
C0040822	Tremor
C0040923	Trichomonal vaginitis
C0040953	Trichotillomania
C0040997	Trigeminal neuralgia
C0041105	Trismus
C0041296	Tuberculosis
C0041349	Tubulointerstitial nephritis
C0041364	Tumour lysis syndrome
C0041428	Conjoined twins
C0041466	Typhoid fever
C0041582	Ulcer
C0041601	Ulna fracture
C0041657	Loss of consciousness
C0041667	Underweight
C0041671	Attention deficit disorder
C0041747	Unintended pregnancy
C0041782	Deficiency anaemia
C0041825	Tympanic membrane disorder
C0041834	Erythema
C0041909	Upper gastrointestinal haemorrhage
C0041912	Upper respiratory tract infection
C0041948	Uremia
C0041956	Ureteric obstruction
C0041959	Ureteritis
C0041969	Urethral disorder
C0041972	Urethral obstruction
C0041974	Urethral stenosis
C0041976	Urethritis
C0041981	Uric acid level increased
C0042018	Calculus urinary
C0042023	Pollakiuria
C0042024	Urinary incontinence
C0042029	Urinary tract infection
C0042035	Micturition disorder
C0042063	Congenital genitourinary abnormality
C0042065	Genitourinary tract neoplasm
C0042075	Urinary tract disorder
C0042109	Urticaria
C0042130	Uterine contractions
C0042131	Uterine disorder
C0042133	Uterine leiomyoma
C0042134	Uterine haemorrhage
C0042135	Uterine atony
C0042138	Uterine neoplasm
C0042139	Uterine perforation
C0042143	Uterine rupture
C0042164	Uveitis
C0042165	Anterior uveitis
C0042167	Posterior uveitis
C0042170	Vogt-Koyanagi-Harada syndrome
C0042251	Vaginal disorder
C0042256	Vaginal itching
C0042258	Vaginal neoplasm
C0042267	Vaginal inflammation
C0042341	Varicocele
C0042345	Varicose vein
C0042373	Angiopathy
C0042376	Vascular headache
C0042380	Vascular resistance
C0042384	Vasculitis
C0042401	Vasodilation
C0042420	Syncope vasovagal
C0042485	Venous insufficiency
C0042487	Venous thrombosis
C0042510	Ventricular fibrillation
C0042514	Ventricular tachycardia
C0042568	Vertebrobasilar insufficiency
C0042571	Vertigo
C0042594	Vestibular disorder
C0042721	Hepatitis viral
C0042740	Viral syndrome
C0042749	Viraemia
C0042755	Virilism
C0042769	Viral infection
C0042790	Disorder sight
C0042798	Vision decreased
C0042847	Vitamin B12 deficiency
C0042850	Vitamin B complex deficiency
C0042880	Vitamin K deficiency
C0042900	Vitiligo
C0042907	Vitreous detachment
C0042909	Vitreous haemorrhage
C0042928	Vocal cord paralysis
C0042961	Volvulus
C0042963	Vomiting
C0042994	Vulval disorder
C0042996	Vulvitis
C0042998	Vulvovaginitis
C0043012	Wakefulness
C0043037	Common wart
C0043046	Wasting generalized
C0043049	Water intoxication
C0043092	Wegener's granulomatosis
C0043094	Weight increased
C0043096	Weight decreased
C0043117	Idiopathic thrombocytopenic purpura
C0043144	Wheezing
C0043145	Whiplash injury
C0043167	Pertussis
C0043241	Wound infection
C0043246	Laceration
C0043250	Wound
C0043251	Trauma
C0043325	Xanthomatosis
C0043345	Xeroderma
C0043349	Xerophthalmia
C0043352	Dry mouth
C0043387	Yawning
C0043515	Zollinger-Ellison syndrome
C0043541	Zygomycosis
C0078911	HIV associated nephropathy
C0079027	Intraoperative hemorrhage
C0079035	Bradyarrhythmia
C0079043	Bronchoconstriction
C0079102	Cerebral thrombosis
C0079487	Helicobacter infection
C0079731	B-cell lymphoma
C0079744	Diffuse large B-cell lymphoma
C0079772	T-cell lymphoma
C0079773	Cutaneous T-cell lymphoma
C0079924	Oligohydramnios
C0080174	Spina bifida occulta
C0080179	Spinal fracture
C0080194	Muscle strain
C0080203	Tachyarrhythmia
C0080233	Tooth loss
C0080274	Urinary retention
C0080276	Urogenital disorder
C0085074	Granuloma annulare
C0085077	Acute febrile neutrophilic dermatosis
C0085082	Fungaemia
C0085083	Ovarian hyperstimulation syndrome
C0085096	Peripheral vascular disorder
C0085119	Ulcer foot
C0085128	Cardiac output increased
C0085129	Bronchial hyperreactivity
C0085136	Central nervous system neoplasm
C0085160	Hidradenitis
C0085166	Vaginitis bacterial
C0085271	Self injurious behaviour
C0085273	Erythema infectiosum
C0085298	Sudden cardiac death
C0085383	Hypocapnia
C0085393	Immunocompromised
C0085423	Gram-negative bacterial infection NOS
C0085436	Meningitis cryptococcal
C0085437	Meningitis bacterial
C0085569	Acidosis hyperchloraemic
C0085570	Alkalosis hypokalaemic
C0085576	Microcytic anaemia
C0085577	Normocytic anemia
C0085580	Essential hypertension
C0085582	Neuritis retrobulbar
C0085583	Choreoathetosis
C0085584	Encephalopathy
C0085593	Chills
C0085594	Fever chills
C0085595	Body odor
C0085602	Polydipsia
C0085605	Hepatic failure
C0085606	Micturition urgency
C0085607	Volume blood increased
C0085610	Sinus bradycardia
C0085611	Atrial arrhythmia
C0085612	Ventricular arrhythmia
C0085614	Atrioventricular block first degree
C0085615	Bundle branch block right
C0085616	Vasospasm
C0085617	Arterial spasm
C0085618	Venospasm
C0085619	Orthopnoea
C0085620	Paralysis flaccid
C0085622	Monoplegia
C0085623	Akinesia
C0085624	Burning sensation
C0085625	Hypoalgesia
C0085628	Stupor
C0085631	Agitation
C0085632	Apathy
C0085633	Mood swings
C0085635	Photopsia
C0085636	Photophobia
C0085637	Oculogyric crisis
C0085639	Fall
C0085641	Rash pustular
C0085642	Livedo reticularis
C0085648	Synovial cyst
C0085649	Oedema peripheral
C0085650	Purpura fulminans
C0085652	Pyoderma gangrenosum
C0085653	Pyogenic granuloma
C0085654	Injection site granuloma
C0085655	Polymyositis
C0085660	Aseptic necrosis
C0085661	Onycholysis
C0085669	Acute leukaemia
C0085679	Hyperchloraemia
C0085680	Hypochloraemia
C0085681	Hyperphosphataemia
C0085682	Hypophosphataemia
C0085684	Footdrop
C0085688	Breast engorgement
C0085692	Cystitis haemorrhagic
C0085693	Acute appendicitis
C0085694	Cholecystitis chronic
C0085697	Pyelonephritis chronic
C0085702	Monocytosis
C0085740	Mendelson's syndrome
C0085762	Alcohol abuse
C0085786	Hamman-Rich syndrome
C0085819	Antibiotic associated colitis
C0085932	Dermatitis bullous
C0086066	Coryza
C0086132	Depressive symptom
C0086168	Dissociation
C0086227	Enterobiasis
C0086438	Hypogammaglobulinaemia
C0086439	Hypokinesia
C0086525	Lassitude
C0086543	Cataract
C0086565	Hepatic function abnormal
C0086692	Benign neoplasm
C0086769	Panic attack
C0086981	Syndrome sicca
C0087169	Withdrawal symptom
C0149504	Toxic encephalopathy
C0149512	Acute sinusitis
C0149514	Acute bronchitis
C0149516	Chronic sinusitis
C0149520	Cholecystitis acute
C0149521	Pancreatitis chronic
C0149523	Acute cystitis
C0149526	Allergic urticaria
C0149531	Pelvic fracture
C0149642	Cervical adenitis
C0149678	Epstein-Barr virus infection
C0149704	Gingivostomatitis
C0149707	Haematospermia
C0149721	Left ventricular hypertrophy
C0149725	Lower respiratory tract infection
C0149726	Pulmonary mass
C0149732	Muscle rupture
C0149741	Breast discharge
C0149744	Oral lesion
C0149745	Mouth ulceration
C0149756	Plantar fasciitis
C0149770	Rectal abscess
C0149778	Soft tissue infection
C0149782	Squamous cell carcinoma of lung
C0149793	Amaurosis fugax
C0149801	Urosepsis
C0149836	Atrophic vulvovaginitis
C0149866	Chemical conjunctivitis
C0149871	Deep vein thrombosis
C0149881	Epididymo-orchitis
C0149887	Slipped femoral capital epiphysis
C0149892	Gingival abscess
C0149904	Hepatitis cholestatic
C0149925	Small cell lung cancer
C0149931	Migraine
C0149937	Acute interstitial nephritis
C0149958	Complex partial seizures
C0149976	Proctitis herpes
C0149985	Secondary syphilis
C0150045	Urge incontinence
C0150055	Chronic pain
C0150077	Skin breakdown
C0150450	Altered state of consciousness
C0151190	Palpable purpura
C0151205	Periorbital oedema
C0151281	Genital ulceration
C0151310	Paresthesia generalized
C0151311	Cranial nerve paralysis
C0151313	Peripheral sensory neuropathy
C0151315	Neck stiffness
C0151436	Allergic cutaneous angiitis
C0151463	Breast abscess
C0151464	Injection site abscess
C0151465	Renal abscess
C0151467	Adrenocortical insufficiency acute
C0151468	Thyroid adenoma
C0151472	Albumin globulin ratio abnormal
C0151474	Alcohol intolerance
C0151476	Alkalosis hypochloraemic
C0151477	Hormone level abnormal
C0151478	Neurotransmitter level altered
C0151479	Amylase increased
C0151480	Antinuclear antibody positive
C0151489	Arterial anomaly
C0151490	Congenital central nervous system anomaly
C0151491	Congenital musculoskeletal anomaly
C0151500	Anticholinergic syndrome
C0151505	Application site reaction
C0151510	Adrenal cortex atrophy
C0151511	Breast atrophy
C0151514	Skin atrophy
C0151517	Atrioventricular block complete
C0151526	Premature delivery
C0151529	Bleeding time prolonged
C0151538	Buccoglossal syndrome
C0151539	Blood urea increased
C0151541	Capillary fragility increased
C0151544	Gastrointestinal carcinoma
C0151547	Cataract specified
C0151555	Cinchonism
C0151559	CNS depression NOS
C0151560	Central nervous system stimulation
C0151563	Coagulation time prolonged
C0151564	Cogwheel rigidity
C0151565	Hemorrhagic colitis
C0151569	Coombs direct test positive
C0151571	Corneal lesion
C0151574	Cough decreased
C0151576	Creatine phosphokinase increased
C0151577	Creatinine renal clearance decreased
C0151578	Creatinine increased
C0151579	Crystalluria
C0151580	Crystalluria calcium
C0151582	Urate crystalluria
C0151584	Injection site cyst
C0151585	Deafness permanent
C0151586	Partial permanent deafness
C0151588	Deafness transitory
C0151589	Partial transitory deafness
C0151594	Diarrhoea haemorrhagic
C0151595	Digitalis intoxication (NOS)
C0151596	Tongue discolouration
C0151598	Drug level decreased
C0151599	Drug level increased
C0151601	Conjunctival oedema
C0151602	Swelling face
C0151603	Generalised oedema
C0151604	Oedema genital
C0151605	Injection site swelling
C0151606	Oedema labial genital
C0151609	Scrotal oedema
C0151610	Tongue oedema
C0151611	Electroencephalogram abnormal
C0151613	Electrolyte abnormality
C0151614	Electrolyte depletion
C0151618	Embolus leg
C0151620	Hypertensive encephalopathy
C0151622	Endometrial disorder
C0151623	Enterocolitis haemorrhagic
C0151624	Ulcerative enterocolitis
C0151625	Enzyme abnormality
C0151626	Necrolysis epidermal
C0151628	Epiphyses premature fusion
C0151629	Fixed eruption
C0151632	Red blood cell sedimentation rate increased
C0151636	Ventricular extrasystoles
C0151638	Syndrome Fanconi-like
C0151639	Fertility female decreased
C0151640	Fertility male decreased
C0151649	Injection site fibrosis
C0151650	Kidney fibrosis
C0151661	Peripheral gangrene
C0151662	Gamma-glutamyltransferase increased
C0151664	Gastrointestinal perforation
C0151665	Globulins decreased
C0151669	Gamma globulins increased
C0151671	Glucose tolerance decreased
C0151673	Gonadotropins NOS low
C0151680	Gonadotropic luteinizing hormone increased
C0151683	Neutrophil count increased
C0151684	Granuloma skin
C0151685	Growth accelerated
C0151686	Growth retardation
C0151689	Hair discoloration
C0151691	High density lipoprotein decreased
C0151692	Impaired healing
C0151694	Hemorrhage of colon
C0151698	Injection site haemorrhage
C0151699	Haemorrhage intracranial
C0151701	Pulmonary haemorrhage
C0151702	Muscle haemorrhage
C0151705	Retroperitoneal haemorrhage
C0151713	Hyperchlorhydria
C0151714	Hypermagnesaemia
C0151717	Skin hypertrophy
C0151718	Hypocholesterolaemia
C0151721	Hypogonadism male
C0151723	Hypomagnesaemia
C0151726	Injection site hypersensitivity
C0151729	Immunoglobulins increased
C0151730	Drug effect increased
C0151734	Injection site inflammation
C0151735	Injection site reaction
C0151736	Accidental injury
C0151737	Intentional injury
C0151738	Large intestine perforation
C0151739	Small intestinal perforation
C0151740	Intracranial pressure increased
C0151744	Myocardial ischaemia
C0151746	Kidney function abnormal
C0151747	Renal tubular disorder
C0151752	Lactation female
C0151754	Lactic dehydrogenase activity increased
C0151763	Hepatocellular injury
C0151765	Liver fatty deposition
C0151766	Liver function test abnormal
C0151767	Liver tenderness
C0151772	Manic psychosis
C0151773	Bone marrow depression
C0151779	Melanoma skin
C0151785	Mucous membrane disorder
C0151786	Muscular weakness
C0151788	Eosinophilic myocarditis
C0151790	Nasal septum disorder
C0151795	Injection site necrosis
C0151798	Hepatic necrosis
C0151799	Skin necrosis
C0151810	Lack of drug effect
C0151811	Subcutaneous nodule
C0151814	Coronary artery occlusion
C0151815	Mesenteric occlusion
C0151818	Opisthotonus
C0151821	Accidental overdose
C0151824	Biliary colic
C0151825	Bone pain
C0151826	Retrosternal pain
C0151827	Eye pain
C0151828	Injection site pain
C0151830	Urethral pain
C0151834	Papanicolaou smear suspicious
C0151836	Paranoid reaction
C0151838	Circumoral paresthesia
C0151846	Disorder periosteal
C0151848	Acid phosphatase high
C0151849	Phosphatase alkaline increased
C0151854	Abnormal platelets
C0151859	Polyserositis
C0151865	Pregnancy test false positive
C0151872	Prothrombin level increased
C0151878	Electrocardiogram QT prolonged
C0151879	Electrocardiogram QT shortened
C0151882	Purpuric rash
C0151883	Vesiculobullous rash
C0151885	Reaction aggravation
C0151888	Hyporeflexia
C0151889	Hyperreflexia
C0151891	Retinal depigmentation
C0151892	Retinal pigmentation
C0151898	Schizophrenic reaction
C0151899	Syndrome screaming
C0151900	Serum iron increased
C0151904	Aspartate aminotransferase increased
C0151905	Alanine aminotransferase increased
C0151907	Skin discolouration
C0151908	Dry skin
C0151911	Generalised spasm
C0151919	Bladder stenosis
C0151934	Hypogeusia
C0151936	Tendon disorder
C0151937	Tendon rupture
C0151942	Arterial thrombosis
C0151945	Cerebral venous thrombosis
C0151946	Pulmonary thrombosis
C0151951	Thromboplastin decreased
C0151955	Decreased tolerance
C0151966	Duodenal ulcer haemorrhage
C0151970	Oesophageal ulcer
C0151971	Intestinal ulcer
C0151981	Peptic ulcer reactivated
C0151994	Uterine enlargement
C0151995	Degeneration of uterine fibroid
C0151996	Uterine fibroids enlarged
C0151998	Uterine spasm
C0152002	Renal vasculitis
C0152006	Vitreous opacities
C0152008	Vulvovaginal disorder
C0152009	WBC abnormal NOS
C0152010	Withdrawal bleed
C0152018	Oesophageal carcinoma
C0152020	Gastric atony
C0152021	Heart disease congenital
C0152025	Polyneuropathy
C0152027	Sensory disturbance
C0152029	Sinus congestion
C0152030	Skin irritation
C0152031	Joint swelling
C0152032	Urinary hesitation
C0152063	Streptobacillary fever
C0152081	Pustular psoriasis
C0152086	Traumatic arthropathy
C0152096	Trisomy 18
C0152115	Orofacial dyskinesia
